votersAge,Blood Group,Permanent_Address,Citizenship Number,Customer Code,National Id,Date of Birth,SC Number,Mother Name,License Number,votersID,source,Mobile Number,soup,Temporary_Address,Gender,Father_Name,PAN_Number,last_modified_date,SpouseName,Customer ID,Name,uuid
39,O+,"Birtamode, Jhapa, Nepal",575-80644-44438/883300,12113982,EF123G,2000-11-11,001.01.11,Chandra Khadka,15-06-41273848,11113982,"layout1, layout2, layout3, layout4, layout5",1234567800,aaravadhikari 2000-11-11 rajanbahaduradhikari,"Sanepa, Lalitpur, Nepal",Male,Rajan Bahadur Adhikari,LMNO1234PL,2024-07-22 10:48:33.145996,Nisha Khadka,3255,Aarav Adhikari,1181214891189
48,AB+,"Dhangadhi, Kailali, Nepal",599-66155-86484/518801,13122547,HI456J,2001-12-12,001.01.12,Tulasa Magar,31-01-32329238,12122547,"layout1, layout2, layout3, layout4, layout5",2345678902,snehajoshi 2001-12-12 rameshbahadurjoshi,"Putalisadak, Kathmandu, Nepal",Female,Ramesh Bahadur Joshi,QRST5678UM,2024-07-22 10:48:33.149321,Kamal Magar,3256,Sneha Joshi,9458105989020
31,O-,"Itahari, Sunsari, Nepal",371-38746-28131/634277,13235698,KL789M,1989-01-13,001.01.13,Ganga Yadav,73-02-11496212,13135698,"layout1, layout2, layout3, layout4, layout5",3456789013,pratikshahi 1989-01-13 sureshkumarshahi,"Tinkune, Kathmandu, Nepal",Male,Suresh Kumar Shahi,VWXY9012NZ,2024-07-22 10:48:33.152933,Sita Yadav,3257,Pratik Shahi,6810919818901
29,AB-,"Bhaktapur, Bhaktapur, Nepal",506-21915-16175/214975,14247652,NO012P,1988-02-14,001.01.14,Sunita Bista,94-08-09289547,14147652,"layout1, layout2, layout3, layout4, layout5",4567890124,anjubhattarai 1988-02-14 dineshrajbhattarai,"Sinamangal, Kathmandu, Nepal",Female,Dinesh Raj Bhattarai,ABCD3456OP,2024-07-22 10:48:33.156407,Mina Bista,3258,Anju Bhattarai,1401281001819
44,,"Kirtipur, Kathmandu, Nepal",,15158964,QR345S,1987-03-15,001.01.15,Gita Dhakal,,15158963,"layout1, layout2, layout3, layout4",5678901235,manishmaharjan 1987-03-15 bijaybahadurmaharjan,"Thamel, Kathmandu, Nepal",Male,Bijay Bahadur Maharjan,EFGH7890QR,2024-07-22 10:48:33.094497,Ram Dhakal,3259,Manish Maharjan,3149983181801
53,AB-,"Lalitpur, Lalitpur, Nepal",697-65333-88172/166613,16169853,TU678V,1986-04-16,001.01.16,Laxmi Pant,17-11-63791321,16169852,"layout1, layout2, layout3, layout4, layout5",6789012346,pujakc 1986-04-16 rameshbahadurkc,"Jawalakhel, Lalitpur, Nepal",Female,Ramesh Bahadur KC,STUV1234WX,2024-07-22 10:48:33.161891,Radha Pant,3260,Puja KC,6101130198600
37,,"Ghorahi, Dang, Nepal",,17375246,WX901Y,1985-05-17,001.01.17,Sarita Joshi,,17175246,"layout1, layout2, layout3, layout4",7890123457,anilkhadka 1985-05-17 rajeshbahadurkhadka,"Maitighar, Kathmandu, Nepal",Male,Rajesh Bahadur Khadka,YZAB5678CD,2024-07-22 10:48:33.100076,Amit Joshi,3261,Anil Khadka,1492181411019
28,B-,"Tansen, Palpa, Nepal",542-42953-82512/112038,18383569,ZA234B,1984-06-18,001.01.18,Meena Bhattarai,68-10-56792613,18183569,"layout1, layout2, layout3, layout4, layout5",8901234568,ritarimal 1984-06-18 ganeshbahadurrimal,"Buddhanagar, Kathmandu, Nepal",Female,Ganesh Bahadur Rimal,EFGH9012EF,2024-07-22 10:48:33.168375,Anita Bhattarai,3262,Rita Rimal,8901893120198
46,AB+,"Bidur, Nuwakot, Nepal",697-25014-99353/663054,19294258,CD567E,1983-07-19,001.01.19,Manju Gurung,28-09-97969690,19194258,"layout1, layout2, layout3, layout4, layout5",9012345679,pratikshadahal 1983-07-19 santoshbahadurdahal,"Naxal, Kathmandu, Nepal",Male,Santosh Bahadur Dahal,IJKL3456GH,2024-07-22 10:48:33.173108,Sanu Gurung,3263,Pratiksha Dahal,6810919814181
40,,"Damak, Jhapa, Nepal",,20305417,FG890H,1982-08-20,001.01.20,Rita Lama,,20205417,"layout1, layout2, layout3, layout4",123456790,dipeshpokharel 1982-08-20 shyamsundarpokharel,,Female,Shyam Sundar Pokharel,MNOP7890IJ,2024-07-22 10:48:33.108904,Hari Lama,3264,Dipesh Pokharel,4965986518185
,A+,"Bharatpur, Chitwan, Nepal",864-17331-40021/961722,,,,,,14-11-40056582,,layout5,5678901234,mohanlama  krishnarajlama,"Balkumari, Lalitpur, Nepal",,Krishna Raj Lama,,2024-07-22 10:48:32.899930,,,Mohan Lama,3581421310018
,AB+,"Hetauda, Makwanpur, Nepal",068-37653-84341/852787,,,,,,26-03-50185868,,layout5,7890123456,krishnarai  ,"Kumaripati, Lalitpur, Nepal",,,,2024-07-22 10:48:32.899930,,,Krishna Rai,1899841819000
,B-,"Nepalgunj, Banke, Nepal",406-94259-70142/249811,,,,,,68-01-80388982,,layout5,9012345678,bikashkarki  bhagirathbahadurkarki,"Boudha, Kathmandu, Nepal",,Bhagirath Bahadur Karki,,2024-07-22 10:48:32.899930,,,Bikash Karki,2911981181900
,B+,"Kirtipur, Kathmandu, Nepal",157-92240-30969/930555,,,,,,98-09-16879291,,layout5,5678901235,manishmaharjan  ,"Thamel, Kathmandu, Nepal",,,,2024-07-22 10:48:32.899930,,,Manish Maharjan,3149983181801
,AB-,"Ghorahi, Dang, Nepal",395-60019-88104/590785,,,,,,71-03-35575299,,layout5,7890123457,anilkhadka  ,"Maitighar, Kathmandu, Nepal",,,,2024-07-22 10:48:32.899930,,,Anil Khadka,1492181411000
,A-,"Damak, Jhapa, Nepal",769-44973-94012/456699,,,,,,89-04-95690392,,layout5,123456790,dipeshpokharel  shyamsundarpokharel,"Gaushala, Kathmandu, Nepal",,Shyam Sundar Pokharel,,2024-07-22 10:48:32.899930,,,Dipesh Pokharel,4965986518185
